,French,English
0,partie,part
1,histoire,history
2,chercher,search
3,seulement,only
4,police,police
5,pensais,thought
6,aide,help
7,demande,request
8,mois,month
9,frère,brother
10,laisser,let
11,car,because
12,mettre,to put
13,aucun,no
14,laisse,leash
15,eux,them
16,ville,city
17,chaque,each
18,parlé,speak
19,arrivé,come
20,devrait,should
21,bébé,baby
22,heures,hours
23,pendant,while
24,aucune,any
25,place,square
26,parle,speak
27,savais,knew
28,étaient,were
29,pourrais,could
30,donner,give
31,leurs,their
32,donné,given
33,corps,body
34,yeux,eyes
35,façon,way
36,écoute,listen
37,trouve,find
38,perdu,lost
39,main,hand
40,côté,side
41,pouvoir,power
42,sois,be
43,tiens,here
44,matin,morning
45,tellement,so much
46,enfant,child
47,point,point
48,suite,after
49,pardon,sorry
50,venez,come
51,devant,in front of
52,vers,towards
53,minutes,minutes
54,demandé,request
55,chambre,bedroom
56,mis,placed
57,belle,beautiful
58,droit,law
59,aujourd'hui,today
60,mari,husband
61,cause,cause
62,enfin,finally
63,espère,hope
64,eau,water
65,parti,left
66,boulot,job
67,dirait,would say
68,terre,Earth
69,compte,account
70,donne,given
71,loin,far
72,fin,end
73,plutôt,rather
74,aura,will have
75,jouer,to play
